TOKEN	L1	L2
ngaye.	0	0

Wathola	0	0
sona	0	0
lesi	0	0
sifo	1	0
sofuba	0	0
emsebenzini	1	0
wakhe	0	1
wokwelapha,	1	0
kumbe	0	0
ezibhedlela	0	0
zethu.	0	0

Kwaholela	1	1
ekutheni	0	0
angabe	0	0
esezwa	1	0
ngezindlebe	1	0
zakhe.	0	0

Owesifazane	0	1
washonelwa	1	0
wumyeni	0	0
wakhe.	1	0

Wenqaba	1	0
ukulandela	0	0
indlela	0	0
yokuzila	1	0
ebekwe	0	1
ezweni	1	0
lakubo.	0	0

Bathi	0	0
achinse	0	1
ikhambi	1	0
elibizwa	0	0
ngemogaga,	1	0
lapho	0	0
ezohamba	0	0
khona	0	0
uma	0	0
ephuma	0	0
egcekeni	1	0
lakwakhe.	0	1

UMhloli	1	0
Mabhuku	0	0
Jikelele	0	1
watomula	1	0
isifundazwe	0	0
saKwazulu	1	0
Natali.	0	0

Yiso	0	0
sodwa	0	1
isifundazwe	1	0
lapho	0	0
iminyango	0	0
eminingi	0	0
ihambisana	1	0
nemigomo	0	0
yokubika	0	0
ngemisebenzi	0	0
yomphakathi.	1	0

Uthi	0	0
ulwazi	1	0
esilufaka	0	0
emibikweni	1	1
yonyaka	0	0
iyasebenziseka.	1	0

Kungethenjelwa	1	0
kuyo,	0	0
futhi	0	0
ihambisana	1	0
nemigomo	1	0
ebekiwe.	1	1

Sindi	0	0
Opperman	0	0
awunaso	1	1
isifo	1	0
egazini	1	0
lakho.	0	0

Kufanele	0	0
uphinde	0	0
ubuye	0	0
emva	0	0
kwezinyanga	1	0
ezintathu,	0	0
ngizolihlola	1	0
ukuze	0	0
ngibe	0	0
nesiqiniseko	1	0
esigcwele	0	1
sokuthi	0	0
uyaphila.	1	0

Iyoba	0	0
nomsebenzi	1	0
wokuqhamuka	0	0
nemibono	1	0
efanele	0	0
ukuthi	0	0
ivezwe	0	0
enhlanganweni	1	0
ethile.	0	1

Kumelwe	0	0
kuvunyelwane	1	0
ngesimo	0	0
esifanayo	1	1
sezikhala	0	0
nemisebenzi	1	0
eyosebenza	0	0
kulo	0	0
lonke	0	0
uphiko.	1	0

Mhh	0	0
noma	0	0
kunjalo	0	0
kufanele	0	0
ke	0	0
ngikhulume	1	0
naye	0	0
ngimdonse	1	1
ngendlebe	0	1
mayelana	0	0
nokuqonywa	1	0
njalo.	0	0

Umnyango	0	0
uncamela	0	0
ukuthi	0	0
kusetshenziswe	1	0
usizo	1	0
lwabo	0	1
ngaphambi	0	0
kokuthi	0	0
umuntu	0	0
asebenzise	1	0
abeluleki.	0	0

Iskimu	0	0
senza	0	0
kahle	0	0
kakhulu	0	1
ngonyaka	1	0
wezinkulungwane	1	0
ezimbili	1	0
nesishiyagalolunye.	1	0

Siqoqa	0	0
iminikelo	0	0
eyeqa	0	0
izicelo	0	0
zenkokhelo	1	0
nezindleko	1	0
zazo	0	0
zonke	0	0
izinhlobo	1	0
ngaphandle	0	1
kohlobo	0	0
lwe	0	0
Oniksi.	1	0

Into	0	0
engcono	1	0
ngukuthi	0	0
wena	0	0
ugibele	1	0
kusasa	1	0
lokhu	0	1
okusayo	0	1
uze	0	0
lapha	0	0
eMgungundlovu.	1	0

Abasizakalayo	1	0
kulo	0	0
bakhethwa	1	0
emphakathini	1	0
empofu	1	1
ngokwedlulele.	0	1

Banikwa	0	0
umsebenzi	1	0
wokusika	0	0
utshani	0	0
kulowo	0	1
mhlaba	1	1
kahulumeni	0	0
okungakhiwe	0	1
kuwo	0	0
isikhathi	1	0
esiwunyaka	0	0
owodwa.	1	0

Bakhokhelwa	1	0
njengalabo	0	0
abasohlelweni	1	0
oluthile.	0	1

Ukuphekisisa	1	1
kahle	0	0
ukudla	0	0
kuyawabulala	0	0
amagciwane	1	0
adala	0	0
izifo.	1	0

Ukunikezwa	0	0
ukuxhaswa	1	0
kwamaphrojekthi	0	0
kanye	0	0
nemisebenzi	1	0
esemaphandleni	0	0
kuyinselele	1	0
enkulu	0	1
kuhulumeni.	0	0

Kudingeka	0	0
ukusebenza	1	0
ngempumelelo	0	1
kwabo	0	0
bonke	0	0
ababambi	1	0
qhaza.	1	0

Makuqinisekwe	1	1
ukuthi	0	0
amaphrojekthi	1	0
kanye	0	0
nemisebenzi	1	0
ifinyelela	0	0
izidingo	1	0
zabantu	0	0
abasezingeni	0	0
eliphansi.	0	0

Ungizumelani	1	1
Jobe.	0	0

Sezikufake	1	0
umoya	0	0
wezikhova	1	0
lezi	0	1
zingane	0	0
zakho.	0	1

Ufuna	0	0
ukungibamba	1	0
ngenzani	0	1
Jobe.	0	0

ULwesihlanu	1	0
lolu	0	0
hhi,	0	1
ngiyabuza?	1	0

Kuneziphakamiso	1	0
zokuthi	0	0
zonke	0	0
izikhungo	1	0
ezixubile,	0	1
zibe	0	0
ngaphansi	0	0
kwen﻿hlangano	1	0
ethile.	0	0

Lezo	0	0
eziqondene	0	0
nemboni	1	0
ezingaphansi	0	0
kwaleyo	0	0
nhlangano	1	0
njengamanje,	0	0
zedluliselwe	1	0
eminyangweni	1	0
efanele	0	1
neqondene.	0	1

Siyaphawula	0	0
ukuthi	0	0
abasebenzi	0	0
baveza	0	0
umbono	1	0
wokuthi	0	0
iNgosi	0	1
kaZwelonke	0	0
yokulondoloza	1	0
amabhuku	0	0
nemibhalo,	1	0
sengathi	0	0
ayithathelwa	1	0
phezulu	0	0
wuMnyango.	0	0

Umphathi,	0	0
ekuceleni	0	0
kwamalungu	1	0
esiGungu	0	0
sezikhalazo	1	0
noma	0	0
yiphi	0	0
ingxenye	1	0
ngesikhalazo	0	0
esiziswe	0	0
ngaphambi	0	0
kwakhe,	0	0
angajuba	1	1
noma	0	0
ngubani.	0	0

Lowo	0	0
muntu	0	0
aye	0	0
kulokho	0	0
okuqhutshwayo,	1	0
ukuze	0	1
afakaze,	1	0
afakwe	0	0
imibuzo	0	0
njengofakazi,	1	0
nganoma	0	0
yiluphi	0	0
udaba	0	0
lwalokho	0	0
kokuqhutshwayo.	0	0

Akhiphe	0	0
noma	0	0
yiphi	0	0
incwadi,	1	0
noma	0	0
into	0	0
yakhe,	0	0
noma	0	0
engaphansi	1	0
kwakhe	0	0
lowo	0	1
muntu,	0	1
futhi	0	0
afakwe	1	0
imibuzo	0	0
ngayo.	0	0

USnyman	0	0
wathi	0	0
umnyango	1	0
usisize	0	0
kakhulu	0	1
ekuthini	0	0
siqinise	1	0
eyezemfundo	1	0
neyezamazinyo.	0	0

Ukwenza	0	0
isibonelo	0	0
nje,	0	0
ukugqugquzela	1	1
ezempilo	1	0
ukuthi	0	0
sisebenzise	1	0
lesi	0	0
sikhathi	0	0
ukuthi	0	0
siphucule	1	0
nezenhlalakahle.	0	0

Sizokwazi	0	0
kahle	0	1
kamhlophe	0	1
ukuthi	0	0
kubonakala	1	0
sengathi	0	0
lolu	0	0
hlelo	1	0
lusekele	1	0
luphinde	0	0
luqinise	1	0
lezo	0	0
nezinye.	0	0

Lokhu	0	0
kuhlolwa	1	0
kuzosiza	0	0
sibheke	1	0
lezo	0	1
zinkinga.	1	0

Luzodluliselwa	0	0
nasezikoleni,	1	0
izinhlelo	0	0
zezempilo	1	0
esezivelile,	0	0
izinhlelo	1	0
esezikhona,	0	0
kuphawula	0	1
umnyango	1	0
ukuthi	0	0
uthumele	0	0
izinto	0	0
ukuqaphelisiswa	0	1
ngokushesha.	0	0

Manje	0	0
baba	0	0
njengoba	0	0
ngicele	1	0
ukuhlangana	1	0
nawe,	0	0
yingoba	0	0
ngifisa	0	0
ukuzwa	1	0
ukuthi	0	0
ngimi	0	1
kuphi.	0	1

Angikwazanga	0	0
ukuza	0	0
kuyinhlolo	1	0
khono	1	0
ngephimbo	1	1
elinokudangala.	0	1

Bandakanya	0	0
umfanekiso	0	0
weSaziso	1	0
seNhlawulo	1	0
enikwe	0	0
lowo	0	1
osolwa	1	0
ngecala/umsolwa.	1	0

Balula	0	1
isizathu	1	0
ngezinyathelo	1	0
ezithathiwe;	0	0
kanye	0	0
nobufakazi	1	0
bokuthunyelwa	1	0
kwesaziso	0	0
seNhlawulo	0	0
kumsolwa.	0	0

Akulula	0	0
kangako	0	1
ukuncintisana	1	0
nolwazi	1	0
lomnotho	0	0
womhlaba.	1	0

Kuphela	0	0
kungaba	0	0
ngaphandle	0	1
kwamanani	1	0
aphansi,	0	0
athembekile	1	0
kanye	0	0
natholakala	0	0
kabanzi	0	0
kwamaza	0	0
okuxhumana.	1	1

Iziboshwa	0	0
kumele	0	0
zifunisise	1	1
kuMphathi	1	0
weJele	0	0
uma	0	0
befuna	0	0
ukubeka	0	0
isikhathi	1	0
sokubonana	1	0
nezikhulu.	0	0

Walugxavula	1	0
sekuthe	0	1
xhifi	1	1
enhliziyweni	1	0
yakhe	0	0
yilesi	0	0
senzo	1	0
sikaThami.	0	0

Ukuphela	1	0
konyaka	0	0
wezimali	1	0
ngoFebruwari	0	0
kubanga	1	0
ubunzima	1	1
kwezezimali.	0	0

Kumelwe	0	0
kutholwe	0	0
imvume	1	0
evela	0	1
eNhlanganweni	0	0
yezeNtela,	0	0
ukufakela	1	0
izitatimende	0	0
zezimali	0	0
ngosuku	0	0
olwehlukile	1	0
kunolukaFebruwari.	0	0

Abantu	0	0
abanjalo	0	0
bangacela	0	0
imvume	1	0
yokufakela	0	0
imibiko	1	0
yentela	1	0
yesikhashana	0	1
ngokuhambisana	0	0
nokuphela	0	0
konyaka	0	0
wezimali	0	0
okwamukelekile.	1	0

Umbhalo	0	0
ochaza	0	0
ngohlelo	1	1
lokucutshungulwa	1	1
kwamanani	0	0
empahla	0	0
esikhumulweni	1	0
esibheka	0	0
impahla	0	0
engenayo	0	0
nephumayo.	0	0

Umbhalo	1	0
ochaza	0	0
kabanzi	0	1
ngeNtela	0	0
eqoqwa	0	0
kwinzuzo	1	0
etholakala	0	0
lapho	0	0
umuntu	0	0
esedayisa	1	0
umuzi	0	0
wesibili.	0	0

Umbhalo	0	0
ochaza	0	0
ngokucutshungulwa	1	1
kwamanani	1	0
ezindlu	0	0
ezingezona	0	0
ezokuqala,	0	0
ngenhloso	0	0
yokuqoqa	0	0
iNtela	0	0
enzuzweni	1	0
lapho	0	0
sezidayisa.	1	0

Inhlangano	1	0
ethile	0	1
kuzolindeleka	1	0
futhi	0	0
ukuthi	0	0
ihlole	0	0
amamaki.	1	0

Bazobona	0	0
ukuthi	0	0
akunamaphutha	1	0
yini,	0	0
ukuqinisekisa,	1	1
ngaphambi	0	0
kokuthi	0	0
bawathumele	0	0
emahhovisi	0	0
esifunda.	1	0

Ngamagama	0	0
alula,	0	1
ukuthuthukiswa	0	0
komphakathi	1	0
kusho	0	0
imizamo	0	0
ewusizo	0	0
kaHulumeni,	0	0
nemiphakathi	0	0
yokufunda,	0	0
nokusebenza	0	0
ndawonye	0	0
ekubhekeleni	0	0
izidingo	1	0
ezinqala	0	1
zemiphakathi	0	0
ngokwenza	0	0
ubungcono	0	0
ezimpilweni	1	0
zabo,	0	1
ukwenza	0	0
ngcono	0	0
ukwethulwa	0	0
kwezinsiza,	0	0
nokuveza	0	0
amathuba	0	0
angcono	0	1
emisebenzi.	1	0

Inhlangano	0	0
ethile	0	0
yeluleka	0	0
ukuthi	0	0
indlela	0	0
eyiyo	0	0
yokuvimbela	0	0
ukutheleleka	0	0
ngomkhuhlane	1	0
wezingulube	0	0
ukulandela	0	0
izindlela	0	0
zokuvimbela	1	0
ngokukhulu	0	1
ukucophelela.	1	1

Noma	0	0
yikuphi	0	0
ukuphawula	0	0
okuvela	0	0
kwilungu	0	0
lombuso	0	0
elinamandla	1	1
omkhawulo	0	0
womthetho	0	0
engxenyeni	0	0
yomsebenzi	0	0
okuyisihloko	0	0
sesicelo.	0	0

Nanoma	0	0
yimiphi	0	0
imihlahlandlela	1	1
yesicelo.	1	0

Uma	0	0
kunengxabano	1	0
ngesikhathi	0	0
somshado	1	0
wobuSulumani,	0	0
noma	0	0
ngenxa	0	0
yawo	0	0
uqobo,	0	1
othintekayo	1	0
kulowo	0	0
mshado	0	0
angayidlulisa.	0	0

Ngaphambili	0	0
noma	0	0
ngemuva	0	0
kokuqala	1	0
izinyathelo	1	0
zomthetho	1	0
ezihlonzwe	0	1
yisigaba.	1	0

Ngaphambi	0	0
kwesinyathelo	1	0
sesahlulelo	1	0
senkantolo	0	0
eMkhandlwini	1	0
wabaXazululi	1	0
omiswe	0	0
ngendlela	0	0
enqunyiwe.	0	1

Wazethula	0	0
ke	0	0
uSonny	0	0
kuXaba	0	0
wamtshela	1	0
nokuthi	0	0
uzwe	0	1
kuthiwa	0	0
uthenga	1	0
lo	0	0
msebenzi	1	0
awukhiqizayo.	1	0

Thola	0	0
ulwazi	1	0
kothumela	0	1
kuye	0	1
impahla,	1	0
noma	0	0
ummeleli	1	0
walelo	0	0
lizwe	0	0
elamukela	0	0
impahla.	0	0

Ziyini	0	0
izimo	0	1
zokuhlolwa	1	0
kwezifo	1	0
zezilwane	1	0
kulelo	0	0
lizwe	0	0
elamukela	0	0
okuvela	0	0
kuwe.	0	0

Izinsolo	1	0
zokungasetshenziswa	0	0
ngendlela	0	0
kwamandla	0	0
okulalela	0	0
amacala	1	0
ngabaholi	1	0
bendabuko,	0	0
yilabo	0	0
abakholelwa	0	1
ekutheni	0	0
amadoda	1	0
kumele	0	0
aphathe.	1	0

Abakholelwa	0	0
ukuthi	0	0
kuqhubeke	0	0
kukhishwa	0	0
inyumbazana	1	1
abesifazane	1	0
ezinkantolo	0	0
zendabuko,	0	0
nokubophela	0	0
abesifazane	0	0
amanqina	0	0
enyathi	0	0
enqubweni	0	0
yasezinkantolo.	1	0

Sivikele	0	0
ukungasentshenziswa	1	0
ngokuyikho	0	1
kwamandla,	0	0
nokuqinisekisa	1	0
ngokukhululeka	0	0
ukusebenzisa	0	0
amachweba	1	0
ngokulinganayo.	0	1

Ukutholakala	0	0
kosizo	0	0
lwamaChweba	0	0
ukuqaphela	0	0
nokuthatha	0	0
izinyathelo	1	0
ezifanele	0	1
uma	0	0
kudingekile,	0	0
ukuze	0	0
kuqinisekiswe	1	0
ukuthi	0	0
iSigungu	0	0
seziPhathimandla	0	0
zamaChweba	0	0
kuZwelonke,	0	0
azitholi	0	0
ukwenzelelwa	0	0
okungafanele	1	0
ngaphezu	0	1
kwezinye	0	0
izinkampani	0	0
zezokuthutha.	0	0

Ukuthi	0	0
izimali	1	0
eziqoqwe	0	0
iziphathimandla	1	0
zamaChweba,	0	0
zisentshenziselwa	0	0
ukuzuzisa	1	0
nokwenziwa	0	0
ngcono	0	1
kwezingqalasizinda	1	0
zamaChweba,	0	0
nokuzuzisa	0	0
abasebenzisi	0	0
bamaChweba.	0	0

Uma	0	0
uzohlangana	1	0
nenye	0	0
imoto	0	0
ngesikhathi	0	0
ushayela	1	0
endaweni	0	0
eyijika	1	1
ngasohlangothini	0	0
lwesokunxele,	1	0
nciphisa	1	0
izibani	0	0
zakho	0	0
zemoto	0	0
kusenesikhathi.	1	0

Uma	0	0
kungenjalo	0	1
izoshelela	1	0
nejika	0	0
bese	0	0
ixhopha	1	0
omunye	0	0
umshayeli.	1	0

Ngaphezu	0	0
kwalokhu,	0	0
uhlelo	0	0
lomsebenzi	0	0
lwenhlangano	0	0
yentuthuko	1	0
ye	0	0
Afrika,	0	0
nezinkulumo	1	0
zabaholi	0	0
bale	0	0
nhlangano,	0	0
sekubeke	0	0
i	0	0
Afrika	0	0
nezinhlelo	1	0
zayo	0	0
eziphambili	0	1
ohlelweni	0	0
lomsebenzi	0	0
lomhlaba	0	0
wonke.	0	0

Kodwa	0	0
kusenezinkinga	1	0
ezinzima	1	1
ezivumbuka	0	0
kwezinye	0	0
izingxenye	1	0
zomhlaba.	0	0

Akekho	0	0
umuntu	0	0
ozovezela	1	0
omunye	0	1
ulwazi	0	0
alutholile	0	0
ngenkathi	0	0
enza	0	0
imisebenzi	1	0
ngokulandela	0	0
lo	0	0
Mthetho.	1	0

Noma	0	0
umthethosisekelo	1	0
womphakathi	0	0
wokufuya	0	0
izilwane,	0	0
noma	0	1
umthethosisekelo	1	0
wesiphathimandla	0	0
esibhalisayo	0	0
futhi	0	0
esiphathelene	0	0
nebhizinisi.	1	0

Noma	0	0
izindaba	1	0
zomunye	0	0
umuntu	1	0
ngaphandle	0	1
kwemvume	1	0
ebhaliwe	0	0
yomuntu	0	0
onjalo.	0	0

Ngaphandle	0	0
nje	0	0
uma	0	0
loku	0	0
kudingwa	1	0
yinoma	0	0
yiyiphi	0	0
inkantolo	1	0
yomthetho,	0	0
noma	0	0
ngaphansi	0	0
kwanoma	0	1
yimuphi	0	0
umthetho.	1	0

Uma	0	0
indiza	0	0
esebenzisa	0	0
izinsiza	1	0
ihamba	0	0
ebusuku	0	0
ezindaweni	1	0
ezithile,	0	1
umshayeli	1	0
oqaphile	0	0
uyoba	0	0
nemvume	1	0
efanele	0	1
yokusebenzisa	0	0
izinsiza	0	0
zendiza.	0	0

Siphezu	0	0
komsebenzi	1	0
wokwakha	1	0
amakhaza	1	0
amasha.	0	1

Sikhathazeke	1	0
kakhulu	0	1
ngesimo	0	0
esingesihle	0	0
samanye	0	0
amakhaza	1	0
abengaphansi	0	0
kwamaphoyisa,	1	0
ikakhulukazi	0	1
amakhaza	0	0
asemgwaqeni	1	0
othile.	0	0

Kunezikhali	1	0
zokuqikelela	0	0
ukuthi	0	0
imisebenzi	1	0
kahulumeni	0	0
wendawo	0	0
ididiyelwe	1	0
nezinye	0	1
izinhlaka	0	0
zokuhlela	0	0
intuthuko.	1	0

Ezingeni	0	0
lesifundazwe,	1	0
kuzwelonke	1	0
nasemhlabeni	1	0
jikelele.	0	1

Ilungelo	1	0
eligcwele	0	0
noma	0	0
elinqunyelwe	0	0
liyanikezwa	0	0
ezinhlobeni	1	0
ezithile	0	1
zezinhlanzi,	0	0
yigatsha	0	0
lenhlangano	1	0
ethile.	0	0

Ngokubheka	0	0
inani	1	1
elivunyelwe	0	0
lokudotshwa	1	0
kwezinhlanzi	0	0
elinqunywa	1	0
njalo	0	0
ngonyaka	0	0
ngungqongqoshe	1	0
wegatsha	0	0
eliphethe	0	0
izindaba	0	0
zenhlalo	0	0
yendawo	0	0
nezokuvakasha.	0	0

Uhlelo	0	0
lokususwa	1	0
ezindlini	1	0
uye	0	0
kwenye,	0	1
ukuba	0	0
lube	0	0
yisu	0	0
lokulungisa	1	0
isimo	1	0
esifanele	0	0
lalezi	0	1
zindlu.	0	0

Lolu	0	0
hlelo	0	0
lwenziwa	0	0
ngokuhlanganyela	1	0
ezinkampanini	0	0
zamabhange,	0	0
nohulumeni	1	1
ukuba	0	0
axhumanise	0	0
ekusebenziseni	1	0
uhlelo	0	0
lokubekwa	0	0
kabusha,	0	0
ukuze	0	0
kulungiswe	1	0
isimo	0	0
esifanele	0	0
sezindlu.	0	0

Njengoba	0	0
inkonzo	0	0
yezisebenzi	1	0
zikahulumeni	0	0
izilungiselela	0	0
inkambiso	1	0
yokuhlinzeka	0	1
izinsizakalo	0	0
ngendlela	0	0
yama	0	0
elekhthronikhi,	0	1
isidingo	1	0
sohlobo	0	0
olwahlukile	0	0
lokuvikeleka	0	0
kolwazi	0	0
enkonzweni	1	0
yezisebenzi	0	0
zikahulumeni	0	0
siba	0	0
yimpoqo.	0	0

Umphathi	0	0
welayisense	1	0
yokucwenga,	1	1
akakwazi	0	0
ukwenza	0	0
yinoma	0	0
yimuphi	0	0
umsebenzi	1	0
onikezwe	0	0
imvume	1	0
yilayisense	0	0
kunoma	0	0
yiyiphi	0	0
indawo.	0	0

Nisho	0	0
noma	0	0
kusendaweni	1	0
yokusebenzela	0	0
echazwe	0	0
yilayisense,	1	0
noma	0	0
echazwe	0	0
yimvume	0	0
yelayisense	0	0
ngokulandela	1	0
isigatshana	0	1
sesithupha.	0	0

Oyiphethe	0	0
akakwazi	1	0
ukuphatha	0	0
okusansimbi	0	0
okuyigugu	1	0
kunoma	0	0
yiyiphi	0	0
indawo,	0	0
ngaphandle	0	1
kwasendaweni	1	0
yakhe	0	0
yokusebenzela	1	0
noma	0	0
endaweni	0	0
echaziwe.	0	0

Angakuphatha	0	0
uma	0	1
ethutha	0	1
okusansimbi	0	0
okuyigugu	1	0
okungasetshenzisiwe	1	0
ngokulandela	0	0
isigaba	1	0
seshumi	0	0
nanye.	0	0

Ngakho,	0	0
intuthuko	1	0
yohlelo	0	0
lwamagama	0	0
olimi	1	0
kuyo	0	0
yonke	0	0
imikhakha,	1	0
iyoba	0	0
semqoka	0	0
kakhulu	0	1
idinge	0	0
ukusebenzisana	1	0
kwababambe	0	0
iqhaza.	0	0

Kufakwe	1	0
namathimba	0	0
olimi	1	1
nezigungu	1	0
zolimi.	0	0

isibonelo,	0	1
izakhiwo	1	0
ezincane	0	0
zenhlangano	0	0
yezolimi	1	0
ezifana	0	0
namathimba	0	0
kazwelonke	1	0
esayense	0	0
yezichazimazwi,	0	0
izigungu	0	0
zikazwelonke	0	0
zolimi	0	0
namakomidi	0	0
olimi	0	0
kwizifundazwe.	0	0

Ikomiti	0	0
lokuqondisa,	1	0
lasungulelwa	0	0
ukubhala	0	0
umbhalo	0	0
ozophakamisa	1	0
inqubo	0	0
engasetshenziswa	0	0
ukusungula	0	0
imboni	1	0
ezoqhakaza,	0	0
ikhulise	1	0
izilimi	0	0
zaseNingizimu	0	1
Afrika.	0	0

Esamile	0	0
kanjalo	0	0
kwaqhamuka	1	0
enye	0	1
yezimoto	1	0
ezithutha	1	0
umphakathi	1	0
oya	0	0
edolobheni	0	0
eKranskop.	0	1

Uma	0	0
ofake	0	0
isicelo	0	0
ethola	0	0
inzuzo	1	0
yokungasebenzi,	1	0
enqabe	0	0
noma	0	0
ale	0	0
ukuthatha	0	0
umsebenzi	1	1
ofanele	0	0
ngaphandle	0	0
kwesizathu	1	0
esizwakalayo.	0	0

Noma	0	0
ale	0	0
ukuyoqeqeshwa	1	1
noma	0	0
ukwelashwa,	1	0
isikhulu	0	0
sezicelo	0	0
singanquma	1	0
ukuthi	0	0
obefaka	0	0
imali	0	0
eSikhwameni	0	0
angayitholi	0	0
inzuzo.	1	0

Kuyoze	0	0
kuphele	0	0
isikhathi	1	0
esingengaphezu	0	1
kwamasonto	1	0
ayishumi	0	0
nantathu.	0	0

Ukusebenzisa	1	0
amehlo	1	1
kuchaza	0	0
iqhinga	1	0
lokundiza.	0	0

Lapho	0	0
ingxenye	1	0
ethile	0	1
noma	0	0
yonke	0	0
yenqubo	0	0
yethuluzi	0	0
ingaqedwa,	1	0
kanjalo	0	0
futhi	0	0
ukuhlala	0	0
kwenziwa	0	0
ngokubuka	0	0
umzila	1	0
wendiza.	0	0

Ngabe	0	0
wonke	1	0
umuntu	0	0
eqenjini	1	0
sewake	0	0
wakhuluma	1	0
yini	0	0
esidlangalaleni.	0	1

Buza	0	1
ke	0	1
abaqeqeshwayo	1	0
ukuthi	0	0
kungani	0	0
becabanga	0	0
ukuthi	0	0
ukukhuluma	1	0
esidlangalaleni	0	0
kubalulekile	0	0
kumakomidi	1	0
ezigceme?	0	0

Kufanele	0	0
futhi	0	0
ukuba	0	0
sizinikele	1	0
ukuba	0	0
sizokuzikhandla	0	0
ukwenyusa	1	0
izinga	0	0
lethu	0	0
lolwazi	0	0
ngendlela	0	0
eqhubekayo.	1	1

Kuzosenza	0	0
siqhathaniseke	1	0
ngendlela	0	0
ephezulu	0	1
ezweni	1	0
lethu	0	0
nakwamanye	0	0
amazwe.	1	0

