TOKEN	L1_PRIM	L1_SEC	L2_PRIM	L2_SEC
nietigheid.	0	0	0	0

Pryse	1	0	1	0
is	0	0	0	0
onderhewig	0	0	0	0
aan	0	0	0	0
'n	0	0	0	0
amptelike	0	1	0	1
kwotasie.	0	0	0	0

Dit	0	0	0	0
is	0	0	0	0
hulle	0	0	0	0
wat	0	0	0	0
die	0	0	0	0
Seun	1	0	1	0
aanskou	0	0	0	0
en	0	1	0	1
in	0	0	0	0
Hom	0	0	0	0
glo.	0	0	0	0

Om	0	0	0	0
hulle	0	0	0	0
Mugabeagtig	1	0	1	0
te	0	0	0	0
noem	0	0	0	0
is	0	0	0	0
dus	0	0	0	0
nie	0	0	0	0
vergesog	0	0	0	0
nie.	0	0	0	0

Die	0	0	0	0
koshuis	0	0	0	0
is	0	0	0	0
lekker,	1	0	0	0
ek	0	0	1	0
geniet	0	0	0	0
dit	0	0	0	0
baie.	0	1	0	0

Dus	0	0	0	1
as	0	0	0	0
iets	0	0	0	0
vir	0	0	0	0
jou	0	0	0	0
waar	1	0	1	0
is	0	0	0	0
dan	0	0	0	0
is	0	0	0	0
dit	0	0	0	0
waar.	0	0	0	0

Hierdie	1	0	0	0
kaart	0	0	0	0
word	0	0	0	0
deur	0	0	0	0
u	0	0	1	0
en	0	0	0	0
die	0	0	0	0
ouderling	0	0	0	0
geteken.	0	0	0	0

Ons	0	0	0	0
kan	1	0	1	0
ons	0	0	0	0
lewens	0	0	0	0
ook	0	0	0	0
met	0	0	0	0
drie	0	0	0	0
stoele	0	0	0	0
vergelyk.	0	0	0	0

Henkie	0	0	0	0
het	0	0	0	0
teruggekruip	0	0	0	0
dieper	0	0	0	0
tussen	0	0	0	0
die	0	0	0	0
blou	1	0	0	0
en	0	0	1	0
pienk	0	0	0	0
rose	0	0	0	0
in.	0	0	0	0

Meestal	1	0	1	0
het	0	0	0	0
hy	0	0	0	0
hulle	0	0	0	0
heuning	0	0	0	0
om	0	0	0	0
die	0	0	0	0
mond	0	0	0	0
gesmeer.	0	0	0	0

Stadig	1	0	0	0
kom	0	0	1	0
gisternag	0	0	0	0
se	0	0	0	0
gebeurtenisse	0	0	0	0
terug.	0	0	0	0

Sien	0	0	0	0
hy	0	0	0	0
uit	1	0	1	0
daarna	0	0	0	0
om	0	0	0	0
sy	0	0	0	0
land	0	0	0	0
te	0	0	0	0
help	0	0	0	0
opbou?	0	0	0	0

Kyk	1	0	1	0
net	0	0	0	0
na	0	0	0	0
die	0	0	0	0
kompleksiteit	0	0	0	0
van	0	0	0	0
die	0	0	0	0
oog.	0	0	0	0

Ek	0	0	0	1
verafsku	1	0	1	0
korrupsie	0	0	0	0
en	0	0	0	0
swak	0	0	0	0
administrasie.	0	0	0	0

Staanposisie	1	0	0	1
sonder	0	0	0	0
eksterne	0	0	1	0
ondersteuning.	0	0	0	0

Hy	0	0	0	0
doen	1	0	0	0
dit	0	0	0	0
toe	0	0	0	0
maar	0	0	0	0
nog	0	0	0	0
so	0	0	0	0
'n	0	0	0	0
keer	0	0	1	0
of	0	0	0	0
wat.	0	0	0	0

Maar	0	0	0	0
dis	0	0	0	0
dan	0	0	0	0
nie	0	0	0	0
eintlik	0	0	0	0
so	1	0	1	0
uitsonderlik	0	0	0	0
nie.	0	0	0	0

En	0	0	0	1
dan	0	0	1	0
jaag	0	0	0	0
jy	0	0	0	0
nog	0	0	0	0
gereeld	1	0	0	0
in	0	0	0	0
obstruksies	0	0	0	0
vas.	0	0	0	0

Hendrik	0	0	1	0
Potgieter	0	0	0	1
het	0	0	0	0
hom	0	0	0	0
daarna	1	0	0	0
verjaag	0	0	0	0
na	0	0	0	0
Zimbabwe.	0	0	0	0

Jode	1	0	1	0
bid	0	0	0	0
nie	0	0	0	0
meer	0	0	0	0
vir	0	0	0	0
die	0	0	0	0
nageslag	0	0	0	0
van	0	0	0	0
Abraham	0	0	0	0
nie.	0	0	0	0

Dan	1	0	0	0
is	0	0	0	0
u	0	0	0	0
geskik	0	0	0	0
om	0	0	0	0
die	0	0	0	0
vaste	0	0	1	0
spyse	0	0	0	0
te	0	0	0	0
geniet.	0	0	0	0

Die	0	0	0	0
besnydenis	0	0	0	0
was	0	0	0	0
egter	0	0	1	0
'n	0	0	0	0
struikelblok	1	0	0	0
tot	0	0	0	0
'n	0	0	0	0
volkome	0	0	0	0
verjoodsing.	0	0	0	0

Ek	0	0	0	0
was	0	0	0	0
tevrede	0	1	0	0
by	0	0	0	0
Oupa	0	0	0	0
en	0	0	1	0
ook	0	0	0	0
doodgelukkig.	1	0	0	0

Een	1	0	1	0
kunsmatige	0	0	0	0
asemteug	0	0	0	0
elke	0	1	0	1
drie	0	0	0	0
sekondes.	0	0	0	0

Deel	1	0	0	0
met	0	0	0	0
ander	0	0	0	0
u	0	0	1	0
lewenswysheid	0	0	0	0
wat	0	0	0	0
met	0	0	0	0
u	0	0	0	0
jare	0	0	0	0
gekom	0	0	0	0
het.	0	0	0	0

So	0	0	0	1
het	0	0	0	0
God	0	0	0	0
se	0	0	0	0
volk	0	0	0	0
Israel	1	0	1	0
ook	0	0	0	0
die	0	0	0	0
ryke	0	0	0	0
ervaar.	0	0	0	0

Ook	0	0	1	0
hierdie	1	0	0	0
besluit	0	0	0	0
raak	0	0	0	1
jouself.	0	0	0	0

Ek	0	0	0	0
is	0	0	0	0
die	0	0	0	0
enigste	1	0	0	1
kind,	0	0	0	0
maar	0	0	0	0
is	0	0	0	0
streng	0	0	1	0
en	0	0	0	0
konserwatief	0	0	0	0
grootgemaak.	0	0	0	0

Hy	0	0	0	0
sal	0	0	0	0
gou	0	0	1	0
tuis	1	0	0	0
wees	0	0	0	0
en	0	0	0	0
met	0	0	0	0
sy	0	0	0	0
juffrou	0	0	0	0
identifiseer.	0	0	0	0

Ja,	1	0	1	0
u	0	0	0	0
kan	0	1	0	0
u	0	0	0	0
kind	0	0	0	0
by	0	0	0	0
enige	0	0	0	0
openbare	0	0	0	0
skool	0	0	0	0
registreer.	0	0	0	0

Dit	0	0	0	0
beklee	1	0	1	0
'n	0	0	0	0
vertrouensposisie	0	0	0	0
met	0	0	0	0
betrekking	0	0	0	1
tot	0	0	0	0
die	0	0	0	0
skool.	0	0	0	0

Later	1	0	1	0
kry	0	0	0	0
ek	0	0	0	0
'n	0	0	0	0
geleentheid	0	0	0	0
om	0	0	0	0
Kaap	0	0	0	0
toe	0	0	0	0
te	0	0	0	0
kom.	0	0	0	0

Hulle	0	0	0	0
rig	0	0	0	0
selde	1	0	0	0
skade	0	0	0	0
onder	0	0	0	0
pluimvee	0	0	0	0
en	0	0	1	0
kleinvee	0	0	0	0
aan.	0	0	0	0

Ek	0	0	0	0
het	0	0	0	0
hier	0	0	0	0
van	0	0	0	0
Touwsrivier	1	0	1	0
af	0	0	0	0
al	0	0	0	0
in	0	0	0	0
die	0	0	0	0
reën	0	0	0	0
gery.	0	0	0	0

So	0	1	1	0
werk	0	0	0	0
dit	0	0	0	0
baie	1	0	0	0
keer	0	0	0	0
in	0	0	0	0
die	0	0	0	0
lewe.	0	0	0	0

Verder	0	0	0	1
noord	1	0	0	0
kom	0	0	0	0
hulle	0	0	0	0
in	0	0	0	0
Zimbabwe	0	1	0	0
in	0	0	0	0
die	0	0	0	0
oostelike	0	1	1	0
hoogland	0	0	0	0
voor.	0	0	0	0

Eenuur	1	0	1	0
sit	0	0	0	0
ons	0	0	0	0
bo	0	0	0	0
op	0	0	0	0
die	0	0	0	0
berg	0	0	0	0
aan	0	0	0	0
vir	0	0	0	0
middagete.	0	0	0	0

Watter	0	0	0	0
verontwaardiging	1	0	0	0
sou	0	0	1	0
daar	0	0	0	0
in	0	0	0	0
ons	0	0	0	0
binneste	0	0	0	0
gewees	0	0	0	0
het.	0	0	0	0

Jesus	0	0	0	1
en	0	0	0	0
sy	0	0	0	0
dissipels	0	0	1	0
was	0	0	0	0
op	0	0	0	0
pad	0	0	0	0
vanaf	1	0	0	0
Betani	0	0	0	0
na	0	0	0	0
Jerusalem.	0	0	0	0

Hy	0	0	0	0
maak	0	0	0	0
sy	0	0	0	0
oë	0	0	0	0
stadig	1	0	1	0
oop	0	0	0	0
en	0	0	0	0
kyk	0	0	0	0
op	0	0	0	0
sy	0	0	0	0
horlosie.	0	0	0	0

Per	0	0	0	0
definisie	1	0	0	0
verhef	0	0	0	0
die	0	0	0	0
opstanding	0	1	0	0
Jesus	0	0	1	0
bo	0	0	0	0
die	0	0	0	0
menslike	0	0	0	0
uit.	0	0	0	0

Die	0	0	0	0
koetshuis	1	0	1	0
sal	0	0	0	0
ook	0	0	0	0
as	0	0	0	0
uitstallokaal	0	1	0	0
benut	0	0	0	0
word.	0	0	0	0

Geen	1	0	1	0
persoon	0	0	0	0
mag	0	0	0	0
gelyktydig	0	0	0	0
by	0	0	0	0
twee	0	1	0	0
Unies	0	0	0	0
geregistreer	0	0	0	0
wees	0	0	0	0
nie.	0	0	0	0

Uitroepe	0	0	0	0
is	0	0	0	0
kort	1	0	1	0
en	0	0	0	0
dui	0	0	0	0
op	0	0	0	0
kontak	0	0	0	0
of	0	0	0	0
gevaar.	0	0	0	0

Die	0	0	0	0
bruin	1	0	1	0
sanderige	0	0	0	0
grond	0	0	0	0
van	0	0	0	0
my	0	0	0	0
voete	0	0	0	0
afskud.	0	0	0	0

Sy	0	0	0	0
pa	1	0	1	0
het	0	0	0	0
vleis	0	0	0	0
gebraai	0	0	0	0
en	0	0	0	0
sy	0	0	0	0
ma	0	1	0	0
het	0	0	0	0
vetkoek	0	0	0	0
gebak.	0	0	0	0

In	0	0	0	0
Februarie	1	0	0	1
is	0	0	0	0
die	0	0	0	0
stoeiprogram	0	0	1	0
weer	0	0	0	0
voortgesit.	0	0	0	0

Hierdie	0	0	1	0
webtuiste	0	0	0	1
is	0	0	0	0
tydelik	1	0	0	0
onder	0	0	0	0
konstruksie.	0	0	0	0

Gee	0	0	1	0
aan	0	0	0	0
een	1	0	0	0
jongmens	0	0	0	0
'n	0	0	0	0
boksie	0	0	0	0
vuurhoutjies.	0	1	0	0

Indien	0	0	0	0
jy	0	0	0	0
egter	0	0	1	0
wil	0	0	0	0
bydraes	1	0	0	0
lewer,	0	0	0	0
dan	0	0	0	0
moet	0	0	0	0
jy	0	0	0	0
geregistreer	0	0	0	0
wees.	0	0	0	0

Ek	0	0	1	0
wonder	1	0	0	0
wat	0	0	0	0
jy	0	0	0	0
vanaand	0	0	0	0
geëet	0	0	0	0
het?	0	0	0	0

Hiervoor	0	0	1	0
word	0	0	0	0
twee	1	0	0	0
uur	0	0	0	0
per	0	0	0	0
week	0	0	0	0
opsy	0	0	0	0
gesit.	0	0	0	0

En	0	0	0	0
die	0	0	0	0
storie	1	0	1	0
begin	0	0	0	0
toe	0	0	0	0
sy	0	0	0	0
so	0	0	0	0
jaar	0	1	0	0
oud	0	0	0	0
was.	0	0	0	0

Hy	0	0	0	0
moet	0	0	0	0
die	0	0	0	0
kind	0	0	0	0
